Key	Korean	English	Traditional Chinese	Simplified Chinese	Japanese	Russian	French	Spanish	
									
// General	// General	// General	// General	// General	// General	// General	// General	// General	
    app_name	모닝키트	Morning Kit	早安工具	早安工具	モーニング	Утренний Kомплект	Kit Matin 	Kit Mañana 	
    ok	확인	OK	確認	确认	確認	OK	Dáccord 	Okay 	
    cancel	취소	Cancel	取消	取消	キャンセル	Отменить	annuler 	Cancelar 	
    loading	로딩 중...	Loading…	載入中…	载入中…	読み込み中…	Загрузка…	Chargement en cours ... 	Cargando ... 	
    default_string	기본	Default	預設	默认	基本設定	По умолчанию	Par défaut 	Por defecto 	
    yes	예	Yes	是	是	はい	Да	oui 	Sí 	
    no	아니오	No	否	否	いいえ	Нет	non	No 	
    no_network_connection	네트워크 접속불가	No Network Connection	连不上网	现在没有网络连接	ネットワークに接続できません	Нет связи	Pas de connexion réseau 	Sin conexión de red 	
    searching	검색 중...	Searching…	搜索中…	搜索中…	保存中…	Поиск…	Recherche en cours ... 	Buscando ... 	
    done	완료	Done	完成	完成	完了	Готово	Terminé 	Terminado 	
    open	열기	open	打開	打开	オープン	Открыть	ouvert 	abierta 	
									
// Alarm 	// Alarm 	// Alarm 	// Alarm 	// Alarm 	// Alarm 	// Alarm 	// Alarm 	// Alarm 	
    add_an_alarm	알람 추가	Add Alarm	新增鬧鐘	添加闹钟	アラームを追加	Добавить будильник	Ajouter une alarme 	Añadir alarma 	
    edit_alarm	알람 편집	Edit Alarm	重設鬧鐘	编辑闹钟	アラームを編集	Изменить будильник	Modifier alarme 	Editar alarma 	
    alarm_default_label	알람	Alarm	鬧鐘	闹钟	アラーム	Будильник	alarme 	Alarma 	
    alarm_am	오전	AM	上午	上午	午前	AM	AM 	AM 	
    alarm_pm	오후	PM	下午	下午	午後	PM	PM 	PM 	
    alarm_snooze_stirng	9분 뒤 알람이 다시 울립니다	Your alarm will start again in 9 minutes	9分鐘後鬧鐘提醒	9分钟后闹钟重新启动	9分後、 アラームが再び鳴ります。	Ваш будильник возобновит работy через 9 минут	Votre alarme recommencer en 9 minutes 	Su alarma se iniciará de nuevo en 9 minutos 	
									
// Alarm Toaster 	// Alarm Toaster 	// Alarm Toaster 	// Alarm Toaster 	// Alarm Toaster 	// Alarm Toaster 	// Alarm Toaster 	// Alarm Toaster 	// Alarm Toaster 	
    alarm_set_toast_part1		Alarm set for 	此鬧鐘設定為現在起	现在距离您设定的时间还有		Установка будильника для 	Alarme programmée pour 	Programar la alarma para 	
    alarm_set_toast_part2	후에 알람이 울립니다	from now			後、 アラームが鳴ります。	с этого времени	à partir de maintenant 	a partir de ahora 	
    alarm_day	일 	 day 	天	天	日	 день 	jour 	día 	
    alarm_days	일 	 days 	天	天	日	 дни 	journées 	días 	
    alarm_hour	시간	 hour 	小時	小时	時間	 час 	heure 	horas 	
    alarm_hours	시간	 hours 	小時	小时	時間	 часы 	heures 	horas 	
    alarm_minute	분	 minute 	分鐘	分钟	分	 минута 	minute 	minutos 	
    alarm_minutes	분	 minutes 	分鐘	分钟	分	 минуты 	minutes	minutos 	
									
// Alarm Preference 	// Alarm Preference 	// Alarm Preference 	// Alarm Preference 	// Alarm Preference 	// Alarm Preference 	// Alarm Preference 	// Alarm Preference 	// Alarm Preference 	
    alarm_pref_repeat	반복	Repeat	重覆	重复	繰り返し	Повторить	Répétez 	Repita 	
    alarm_pref_sound_type	사운드	Sound	聲音	声音	サウンド	Звук	son 	Sonido 	
    alarm_pref_label	이름	Label	標籤	标签	ラベル(名)	Пометка	étiquette 	Etiqueta 	
    alarm_pref_repeat_never	안 함	Never	永不	永不	しない	Никогда	jamais 	nunca 	
    alarm_pref_repeat_weekdays	주중	Weekdays	工作日	工作日	平日	Будни	jours de la semaine 	Días de la semana 	
    alarm_pref_repeat_weekends	주말	Weekends	週末	周末	週末	Выходные	week-end 	Los fines de semana 	
    alarm_pref_repeat_everyday	매일	Everyday	每日	每天	毎日	Каждый день	quotidien 	Todos los días 	
    alarm_pref_pick_your_favorite_sond	노래 선택	Pick a song	選取歌曲	选取一首歌曲	音楽を選択	Выбрать песню	Choisissez une chanson 	Elija una canción 	
									
// Repeat 	// Repeat 	// Repeat 	// Repeat 	// Repeat 	// Repeat 	// Repeat 	// Repeat 	// Repeat 	
    every_monday	월요일마다	Every Monday	每週一	每周一	毎月曜日	Каждый Понедельник	Tous les lundis 	Todos los lunes 	
    every_tuesday	화요일마다	Every Tuesday	每週二	每周二	毎火曜日	Каждый Вторник	Tous les mardis 	Todos los martes 	
    every_wednesday	수요일마다	Every Wednesday	每週三	每周三	毎水曜日	Каждую Среду	Tous les mercredis 	Todos los miércoles 	
    every_thursday	목요일마다	Every Thursday	每週四	每周四	毎木曜日	Каждый Четверг	Tous les jeudis 	Todos los jueves 	
    every_friday	금요일마다	Every Friday	每週五	每周五	毎金曜日	Каждую Пятницу	chaque vendredi 	Todos los viernes 	
    every_saturday	토요일마다	Every Saturday	每週六	每周六	毎土曜日	Каждую Субботу	Tous les samedis 	Todos los sábados 	
    every_sunday	일요일마다	Every Sunday	每週日	每周日	毎日曜日	Каждое Воскресенье	Tous les dimanches 	Todos los domingos 	
    monday	월	Mon	周一	周一	月	По	lundi 	Lunes 	
    tuesday	화	Tue	周二	周二	火	Вт	mardi 	martes	
    wednesday	수	Wed	周三	周三	水	Ср	mercredi 	Miércoles 	
    thursday	목	Thu	周四	周四	木	Чт	jeudi 	Jueves 	
    friday	금	Fri	周五	周五	金	Пт	vendredi 	Viernes 	
    saturday	토	Sat	周六	周六	土	Сб	samedi 	Sabado	
    sunday	일	Sun	周日	周日	日	Вc	dimanche	Domingo	
    monday_short	월	M	一	一	月	П	L	L	
    tuesday_short	화	T	二	二	火	В	M	M 	
    wednesday_short	수	W	三	三	水	С	M	M 	
    thursday_short	목	T	四	四	木	Ч	J	J	
    friday_short	금	F	五	五	金	П	V	V 	
    saturday_short	토	S	六	六	土	С	S	S 	
    sunday_short	일	S	日	日	日	В	D	D	
									
// Alarm Wake 	// Alarm Wake 	// Alarm Wake 	// Alarm Wake 	// Alarm Wake 	// Alarm Wake 	// Alarm Wake 	// Alarm Wake 	// Alarm Wake 	
    alarm_wake_snooze	다시 알림	Snooze	小睡	小睡	スヌーズ	Позже	Répéter	Reposo  	
    alarm_wake_dismiss	알람 끔	Dismiss	關閉鬧鐘	关闭闹钟	アラームオフ	Отклонить	rejeter	Descartar 	
									
// Alarm Sound 	// Alarm Sound 	// Alarm Sound 	// Alarm Sound 	// Alarm Sound 	// Alarm Sound 	// Alarm Sound 	// Alarm Sound 	// Alarm Sound 	
    alarm_sound_string_none	무음	Mute	靜音	静音	無音	Oтключение	muet 	Silencio  	
    alarm_sound_string_vibrate	진동	Vibrate	震動	振动	振動	Вибрация	Vibreur 	Vibrar 	
    alarm_sound_string_ringtones	벨소리	Ringtone	鈴聲	铃声	べル	Рингтон	sonnerie 	tono 	
    alarm_sound_string_music	음악	Music	音樂	音乐	音樂	Музыка	musique 	Música 	
    alarm_ocean_short	Ocean	Ocean	Ocean	Ocean	Ocean	Oкеан	océan 	Océano  	
    alarm_ride	Ride	Ride	Ride	Ride	Ride	Езда	tour	Paseo 	
									
// Widget 	// Widget 	// Widget 	// Widget 	// Widget 	// Widget 	// Widget 	// Widget 	// Widget 	
    world_clock	세계 시계	World Clock	世界時鐘	世界时钟	世界時計	Мировые\nчасы	Horloge mondiale 	Reloj Mundial 	
    flickr	플리커	Flickr	Flickr	Flickr	フリッカー	Фликр	Flickr 	parpadear 	
    memo	메모	Memo	備忘錄	备忘录	メモ	Заметка	note 	Memo 	
    date_calculator	날짜 계산	Date(enter)Countdown	日期倒數	日期倒数	日付計算	дата\nобратного отсчета	Date (entrer) Compte à rebours 	Fecha (entrar) Cuenta atrás 	
    weather	날씨	Weather	天氣	天气	天気	Погода	temps 	El tiempo 	
    calendar	달력	Date	日曆	日历	カレンダー	Календарь	date 	Fecha 	
    exchange_rate	환율	Exchange(enter)Rates	匯率	汇率	為替レート	Oбменный\nкурс	Change (entrer) Tarifs 	Tipo (entrar) Precios 	
    saying	명언	Quotes	語錄	语录	名言	Фразы	citations 	Cotizaciones 	
    reminder	일정	Calendar	日程管理	日程管理	スケジュール	Напоминание	calendrier	Calendario 	
									
// Calendar 	// Calendar 	// Calendar 	// Calendar 	// Calendar 	// Calendar 	// Calendar 	// Calendar 	// Calendar 	
    calendar_lunar_calendar	음력 달력 추가	Lunar Calendar	農曆	农历	陰曆	Лунный календарь	Calendrier Lunaire 	Calendario Lunar 	
    calendar_monday	월요일	MONDAY	星期一	星期一	月曜日	ПОНЕДЕЛЬНИК	lundi 	Lunes 	
    calendar_tuesday	화요일	TUESDAY	星期二	星期二	火曜日	ВТОРНИК	mardi 	Martes 	
    calendar_wednesday	수요일	WEDNESDAY	星期三	星期三	水曜日	СРЕДА	mercredi 	Miércoles 	
    calendar_thursday	목요일	THURSDAY	星期四	星期四	木曜日	ЧЕТВЕРГ	jeudi 	Jueves 	
